Span_w,Root_Chord_w,Tip_Chord_w,Span_e,Root_Chord_e,Span_f,Root_Chord_f,Tip_Chord_f,X_f,aoa,cl,cd,eff,cl/cd,cm,xcp
2.112,0.199,0.066,0.447,0.184,0.253,0.184,0.072,0.34,4,0.772,0.012,0.985,63.92,-0.417,0.077
2,0.185,0.058,0.334,0.158,0.204,0.158,0.077,0.718,4,0.775,0.012,0.982,65.551,-0.484,0.083
2.085,0.198,0.064,0.437,0.165,0.243,0.165,0.078,0.434,4,0.774,0.012,0.973,62.884,-0.438,0.081
2.125,0.179,0.079,0.302,0.191,0.228,0.191,0.06,0.418,4,0.8,0.009,0.946,90.033,-0.413,0.07
2.392,0.193,0.065,0.431,0.186,0.232,0.186,0.069,0.44,4,0.79,0.01,1.064,78.503,-0.325,0.078
3.319,0.192,0.062,0.32,0.18,0.235,0.18,0.084,0.79,4,0.087,0.009,0.922,93.835,-0.462,0.081
2.566,0.188,0.078,0.381,0.158,0.238,0.158,0.081,0.329,4,0.784,0.01,0.975,75.332,-0.396,0.071
2.228,0.17,0.058,0.375,0.181,0.255,0.181,0.085,0.296,4,0.779,0.011,0.99,69.256,-0.383,0.066
2.697,0.195,0.076,0.423,0.189,0.214,0.189,0.088,0.651,4,0.796,0.011,0.945,74.265,-0.481,0.087
2.305,0.19,0.066,0.47,0.136,0.209,0.136,0.078,0.696,4,0.818,0.009,0.953,87.182,-0.567,0.084
2.014,0.159,0.071,0.415,0.16,0.232,0.16,0.067,0.74,4,0.797,0.017,0.092,47.762,-0.603,0.091
2.499,0.188,0.062,0.379,0.183,0.221,0.183,0.073,0.796,4,0.793,0.011,0.954,74.02,-0.521,0.089
2.807,0.182,0.077,0.351,0.163,0.204,0.163,0.08,0.473,4,0.783,0.012,0.817,64.614,-0.428,0.073
2.6,0.188,0.058,0.435,0.192,0.272,0.192,0.076,0.734,4,0.798,0.011,0.963,75.247,-0.554,0.093
2.188,0.191,0.073,0.498,0.198,0.226,0.198,0.085,0.312,4,0.781,0.011,1.02,67.977,-0.425,0.074
2.527,0.186,0.059,0.464,0.165,0.22,0.165,0.07,0.373,4,0.795,0.008,1.215,94.216,-0.531,0.075
2.065,0.156,0.06,0.458,0.163,0.218,0.163,0.058,0.396,4,0.808,0.011,0.986,73.31,-0.506,0.072
2.651,0.2,0.077,0.409,0.163,0.244,0.163,0.082,0.496,4,0.787,0.011,0.976,74.549,-0.431,0.081
2.216,0.195,0.07,0.385,0.188,0.247,0.188,0.063,0.49,4,0.775,0.012,0.974,66.325,-0.436,0.077
2.032,0.179,0.067,0.49,0.166,0.214,0.166,0.063,0.323,4,0.785,0.013,0.949,62.777,-0.432,0.07
2.509,0.179,0.066,0.492,0.13,0.202,0.13,0.086,0.59,4,0.8,0.011,0.921,71.181,-0.498,0.083
2.378,0.19,0.056,0.419,0.169,0.23,0.169,0.066,0.357,4,0.79,0.01,1.06,81.447,-0.434,0.074
2.61,0.194,0.074,0.466,0.189,0.23,0.189,0.086,0.384,4,0.794,0.01,1.061,81.749,-0.435,0.078
2.141,0.166,0.057,0.476,0.153,0.201,0.153,0.068,0.457,4,0.802,0.011,0.994,72.528,-0.416,0.077
2.707,0.199,0.07,0.484,0.152,0.22,0.152,0.073,0.634,4,0.796,0.01,1.054,82.628,-0.479,0.088
2.003,0.166,0.057,0.407,0.141,0.2,0.141,0.059,0.523,4,0.791,0.011,0.965,68.878,-0.493,0.075
2.198,0.177,0.06,0.5,0.162,0.226,0.162,0.075,0.568,4,0.798,0.011,1.021,71.423,-0.524,0.086
2.335,0.165,0.069,0.328,0.179,0.249,0.179,0.07,0.362,4,0.793,0.011,0.932,73.695,-0.429,0.067
2.574,0.192,0.065,0.403,0.183,0.246,0.183,0.072,0.757,4,0.792,0.011,0.947,71.904,-0.493,0.089
2.432,0.178,0.068,0.46,0.164,0.242,0.164,0.074,0.751,4,0.798,0.012,0.905,66.939,-0.542,0.092
2.17,0.166,0.069,0.427,0.139,0.205,0.139,0.086,0.834,4,0.799,0.012,0.913,66.355,-0.594,0.092
2.473,0.177,0.078,0.389,0.173,0.242,0.173,0.071,0.401,4,0.782,0.011,0.961,69.607,-0.407,0.073
2.306,0.167,0.07,0.494,0.2,0.23,0.2,0.067,0.679,4,0.816,0.011,0.955,71.567,-0.624,0.096
2.336,0.183,0.063,0.449,0.141,0.203,0.141,0.083,0.84,4,0.797,0.011,0.928,69.507,-0.56,0.093
